FONC1et2;LIBELLE;NiveauCOICOP;Q1;Q2;Q3;Q4;Q5;Moins_de_30_ans;30-39_ans;40-49_ans;50-59_ans;60-69_ans;70_ans_et_plus;Personne_seule;Famille_Monoparentale;Couples_sans_enfant;Couples_1_enfant;Couples_2_enfants;Couples_3_enfants_et_plus;Agriculteurs;Artisans,_commerc,_chefs_d'entreprises_et_professions_liberales;Cadres;Professions_intermediaires;Employes;Ouvriers_;Ensemble_actifs;Retraites_Agriculteurs;Retraites_autres_independants;Retraites_cadres;Retraites_professions_intermediaires;Retraites_employes;Retraites_ouvriers;Ensemble_retraites;Autres_inactifs;1_personne_seule_agee_de_moins_de_65_ans;1_personne_seule_agee_de_65_ans_ou_plus;1_adulte,_avec_au_moins_1_enfant_vivant_dans_le_logement;2_adultes,_sans_enfant_vivant_dans_le_logement,_dont_les_2_adultes_ont_moins_de_65_ans;2_adultes,_sans_enfant_vivant_dans_le_logement_dont_au_moins_un_des_adultes_a_65_ans_ou_plus;2_adultes,_avec_1_ou_2_enfants_vivant_dans_le_logement;2_adultes,_avec_3_enfants_ou_+__vivant_dans_le_logement;Autres_menages
92;Autres biens durables culturels et récréatifs;2;0.039935654;0.056981212;0.152989423;0.273043944;0.477049766;0.046797574;0.087514863;0.187452036;0.276746131;0.319399453;0.082089943;0.10924519;0.085329167;0.603195159;0.083352098;0.064006106;0.05487228;0.0000393935;0.183101181;0.126163846;0.120053056;0.053086642;0.089266248;0.571710366;0.018299708;0.001070699;0.131815405;0.067532124;0.085885201;0.11872631;0.423329447;0.004960188;0.067756677;0.028691073;0.080208036;0.364846342;0.229074467;0.147306938;0.048304668;0.033811801
93;Autres biens et équipements de loisirs;2;0.108523946;0.15995849;0.188859796;0.250064179;0.292593589;0.079665384;0.196959733;0.227251804;0.184238283;0.181029422;0.130855374;0.19346876;0.094741026;0.323380882;0.153456979;0.168760424;0.066191929;0.015202038;0.090276309;0.142292822;0.171393224;0.102887951;0.160447612;0.682499956;0.012811889;0.040230375;0.058997114;0.072194499;0.051878067;0.066275726;0.30238767;0.015112374;0.103273793;0.072722557;0.076573446;0.164817744;0.146010115;0.307274479;0.075359804;0.053968063
94;Services culturels et récréatifs;2;0.106710182;0.133836169;0.164139597;0.232678989;0.362635062;0.073297561;0.179161839;0.257026437;0.213941745;0.168218806;0.108353612;0.262613368;0.10602381;0.274721801;0.115883837;0.169064797;0.071692387;0.008808225;0.089603183;0.20992156;0.181927425;0.100797392;0.132145407;0.723203192;0.004017429;0.034347249;0.069318076;0.063238699;0.036860916;0.051373993;0.259156362;0.017640446;0.168625614;0.071577633;0.083463734;0.162129641;0.106221009;0.281337556;0.081981052;0.04466376
95;Presse, livres et papeterie;2;0.117457554;0.135102491;0.172004892;0.211937549;0.363497514;0.050499506;0.146506806;0.210886224;0.204964309;0.213519829;0.173623327;0.268214524;0.081101544;0.331324942;0.115445526;0.144228949;0.059684515;0.013326785;0.074732359;0.202645713;0.156459698;0.079335696;0.096139098;0.622639347;0.009890029;0.038946908;0.090263157;0.094346637;0.053683014;0.068946312;0.356076057;0.021284596;0.148159135;0.097452353;0.067558008;0.161003779;0.162862893;0.248189577;0.068204908;0.046569348
96;Voyages touristiques tout compris;2;0.061282231;0.092282526;0.131366741;0.224543893;0.490524609;0.049950039;0.156171166;0.2262151;0.208190591;0.221500382;0.137972722;0.253779954;0.071101072;0.360140739;0.100876414;0.159131018;0.054970804;0.008301866;0.115938765;0.235148934;0.152962017;0.07295793;0.074326264;0.659635776;0.007944588;0.045002208;0.105957698;0.087099154;0.041504215;0.041863543;0.329371406;0.010992818;0.156531266;0.077600371;0.062230968;0.184175935;0.159157074;0.257115331;0.062153233;0.041035822
10;Education;1;0.230366708;0.137068142;0.112239863;0.19837282;0.321952467;0.159005859;0.059298983;0.373965714;0.320828457;0.075673641;0.011227345;0.139107063;0.188006615;0.128258144;0.145079224;0.25290428;0.146644675;0.015014342;0.156382;0.305107582;0.152823516;0.118995508;0.091825435;0.840148383;0.00000464035;0.00732379;0.017448282;0.012181203;0.006717971;0.013148621;0.056824507;0.10302711;0.111225535;0.003241828;0.154568249;0.119022916;0.00905572;0.381977492;0.168082243;0.052826016
11HCF;Hôtels, cafés et restaurants;1;0.095198901;0.119996064;0.157204777;0.228301056;0.399299202;0.08953503;0.205108984;0.258588876;0.216382682;0.14613379;0.08425064;0.242789024;0.08696433;0.279366079;0.133440341;0.185531142;0.071909083;0.008374739;0.105651939;0.248101754;0.197092338;0.105317597;0.117920709;0.782459077;0.003731323;0.029207213;0.064514704;0.048585847;0.02370437;0.027962248;0.197705706;0.019835217;0.167475398;0.051916189;0.075995358;0.173502956;0.088377888;0.308149462;0.084020353;0.050562395
111;Restauration;2;0.101716118;0.129694596;0.157955537;0.226101819;0.38453193;0.09727466;0.212101865;0.254079974;0.211965096;0.139323085;0.08525532;0.255655348;0.08786671;0.2718464;0.130879088;0.180886541;0.072865913;0.008561252;0.1003568;0.243949895;0.201911691;0.107421416;0.126408834;0.788609888;0.003966164;0.026909251;0.058696014;0.047181235;0.024060315;0.029802818;0.190615797;0.020774315;0.176198269;0.054595953;0.075273049;0.173319958;0.08256969;0.301785036;0.084666006;0.051592039
112;Services d'hébergement;2;0.070536975;0.083295669;0.154363814;0.236623231;0.455180311;0.06024735;0.178647092;0.275651093;0.23309935;0.171906304;0.08044881;0.194101329;0.083549618;0.307821436;0.143132429;0.203106864;0.068288325;0.007668952;0.125689373;0.26381288;0.178855337;0.097356496;0.085800638;0.759183676;0.002842657;0.037902973;0.086533319;0.053901067;0.022357435;0.020997311;0.224534763;0.016281561;0.134467021;0.041775641;0.078728663;0.174195443;0.1103568;0.332233204;0.081577127;0.046666101
12EDU;Autres biens et services;1;0.11318015;0.155877346;0.188455124;0.230632766;0.311854614;0.072912638;0.202572671;0.200639457;0.192057998;0.165265028;0.166552207;0.241239232;0.082811317;0.301159071;0.147707547;0.167342959;0.059739874;0.013467355;0.08091265;0.162125995;0.167987979;0.102598581;0.13853885;0.665631409;0.015042987;0.035474283;0.061462102;0.070717947;0.062321056;0.073121619;0.318139993;0.016228598;0.124268002;0.097302173;0.065537357;0.155449344;0.137047214;0.304010522;0.069030467;0.047354921
121;Soins personnels;2;0.129377401;0.156096824;0.18508423;0.223961412;0.305480133;0.065198082;0.172046767;0.217008652;0.206092406;0.177303596;0.162350498;0.244012966;0.096882171;0.30513493;0.135755017;0.158773519;0.059441398;0.009775211;0.076622802;0.156353675;0.166358078;0.111050595;0.132889069;0.653049431;0.008920288;0.035392341;0.067502908;0.074886006;0.065776994;0.072018773;0.324497308;0.022453262;0.128563265;0.093662568;0.077483761;0.155663912;0.140860753;0.283290938;0.069553153;0.050921651
123;Effets personnels n. c. a.;2;0.121719142;0.151264308;0.154291193;0.204714103;0.368011253;0.105441832;0.195325039;0.223046713;0.209017576;0.163241231;0.103927609;0.291025281;0.086084169;0.276630366;0.120556981;0.149775469;0.075927735;0.009530789;0.086154869;0.186955338;0.191624248;0.115850767;0.137823363;0.727939374;0.00506873;0.015214028;0.067658391;0.066789866;0.056802001;0.04165338;0.253186396;0.01887423;0.179505664;0.08791581;0.074686196;0.183922725;0.071957582;0.270737207;0.091181917;0.040092899
124;Action sociale;2;0.056775519;0.096751927;0.226419358;0.285375022;0.334678174;0.084529022;0.535424434;0.187149738;0.026843022;0.012045471;0.154008313;0.125848118;0.046481337;0.048047708;0.314448669;0.375956725;0.089217443;0.009735652;0.103569358;0.241939384;0.231654721;0.096435109;0.150670781;0.834005004;0.033637403;0.006866658;0.013652558;0.037163003;0.036474075;0.03134536;0.159139057;0.006855939;0.0000817208;0.115258484;0.043603063;0.000518451;0.047398224;0.683999492;0.102574141;0.006566425
125;Assurances;2;0.119987066;0.179079173;0.203505211;0.226919384;0.270509166;0.052462535;0.135234076;0.184786202;0.209384535;0.202342483;0.215790169;0.242170859;0.078533175;0.368915798;0.124147195;0.135584226;0.050648747;0.017664963;0.076173197;0.114468836;0.140954378;0.097180177;0.135288151;0.581729702;0.020439461;0.051114301;0.07015503;0.083047144;0.073438224;0.105441649;0.40363581;0.014634489;0.115291976;0.107915355;0.05703475;0.168611261;0.195751513;0.239480593;0.05589207;0.060022482
126;Services financiers (***);2;0.148040116;0.171068175;0.195903787;0.223485216;0.261502706;0.073799404;0.181639545;0.20909138;0.213614688;0.171977771;0.149877213;0.244067412;0.097211269;0.319295296;0.137826015;0.146312265;0.055287742;0.015235694;0.078568115;0.136182864;0.163173108;0.116383687;0.160545288;0.670088756;0.011557635;0.034873023;0.055499255;0.068080412;0.060781865;0.078396504;0.309188693;0.020722551;0.14018858;0.082339617;0.070086916;0.181727429;0.132689414;0.265573306;0.061034366;0.066360374
127;Autres services;2;0.068646475;0.118125693;0.140381806;0.244157295;0.428688731;0.121637761;0.253657824;0.201825653;0.207541071;0.131831932;0.083505759;0.277409338;0.08371515;0.278979286;0.152301647;0.153809572;0.053785008;0.013501741;0.084916858;0.269592007;0.193388029;0.085256488;0.141614231;0.788269354;0.006675029;0.02497624;0.053490515;0.050377544;0.042475699;0.024135507;0.202130534;0.009600112;0.187065495;0.070529735;0.074129538;0.196136489;0.062121887;0.317477776;0.068122184;0.024416896
TOTAL;Dépense de consommation par ménage;3;0.121483809;0.156750245;0.185544309;0.227789489;0.308432147;0.069820747;0.174408458;0.22025833;0.207144775;0.176760699;0.15160699;0.246653694;0.088702042;0.313825301;0.130435406;0.158385844;0.061997713;0.012676114;0.083970484;0.163117177;0.165508619;0.102176204;0.142268681;0.669717279;0.011415922;0.037364616;0.063840327;0.07021199;0.054884353;0.072310009;0.310027217;0.020255504;0.13983276;0.085561632;0.069925003;0.167132007;0.138078949;0.275383202;0.071080561;0.053005885
